stop_name,nb_metro,nb_rer,line,Name
ECOUEN-EZANVILLE,0,0,,ecouenezanville
VALMONDOIS,0,0,,valmondois
CHAPONVAL,0,0,,chaponval
BELLEVUE,0,0,,bellevue
FONTENAY-AUX-ROSES,0,1,B,fontenayauxroses
ARCUEIL-CACHAN,0,1,B,arcueilcachan
CHATELET-LES HALLES,0,3,,chateletleshalles
AVENUE DU PRESIDENT KENNEDY,0,1,,avenuedupresidentkennedy
SUZANNE VALADON,0,0,,suzannevaladon
PETIT PIERREFITTE,0,0,,petitpierrefitte
GUYNEMER,0,0,,guynemer
SAARINEN,0,0,,saarinen
ROBERT SCHUMAN,0,0,,robertschuman
COEUR D'ORLY,0,0,,coeurdorly
MOULIN VERT,0,0,,moulinvert
BRETAGNE,0,0,,bretagne
CREIL,0,1,,creil
PRECY-SUR-OISE,0,0,,precysuroise
LIANCOURT-SAINT-PIERRE,0,0,,liancourtsaintpierre
ORMOY-VILLERS,0,0,,ormoyvillers
NANTEUIL-LE-HAUDOUIN,0,0,,nanteuillehaudouin
NOGENT-L'ARTAUD-CHARLY,0,0,,nogentlartaudcharly
PABLO NERUDA,0,0,,pabloneruda
LES BEATUS,0,0,,lesbeatus
DELAUNAY-BELLEVILLE,0,0,,delaunaybelleville
MAIRIE DE VELIZY,0,0,,mairiedevelizy
FRONT POPULAIRE,1,0,12,frontpopulaire
PARC PIERRE LAGRAVERE,0,0,,parcpierrelagravere
SAINT-QUENTIN-EN-YVELINES,0,1,,saintquentinenyvelines
HOTEL DE VILLE - MAISON DE LA CULTURE,0,0,,hoteldevillemaisondelaculture
NOISY-LE-SEC,0,1,,noisylesec
PORTE DOREE,1,0,,portedoree
MONTPARNASSE,4,0,,montparnasse
PORTE DE VERSAILLES,1,0,12,portedeversailles
PORTE D'ORLEANS,1,0,,portedorleans
BIBLIOTHEQUE FRANCOIS MITTERRAND,1,1,,bibliothequefrancoismitterrand
HOUILLES-CARRIERES-SUR-SEINE,0,1,,houillescarrieressurseine
ERMONT-EAUBONNE,0,1,,ermonteaubonne
NEUVILLE UNIVERSITE,0,1,,neuvilleuniversite
CERGY-PREFECTURE,0,1,,cergyprefecture
SAINT-OUEN-L'AUMONE,0,1,,saintouenlaumone
AEROPORT CHARLES DE GAULLE 1,0,1,,aeroportcharlesdegaulle1
ANTONY,0,1,B,antony
Porte d'Asnières Marguerite Long,0,0,,portedasnieresmargueritelong
Epinettes - Pouchet,0,0,,epinettespouchet
PORTE DE CLIGNANCOURT,1,0,4,portedeclignancourt
Diane Arbus - Porte des Poissonniers,0,0,,dianearbusportedespoissonniers
LE BOURGET,0,1,B,lebourget
CONCORDE,3,0,8,concorde
CONCORDE,3,0,12,concorde
CONCORDE,3,0,1,concorde
GEORGE V,1,0,1,georgev
ARGENTINE,1,0,1,argentine
LES SABLONS (JARDIN D'ACCLIMATATION),1,0,1,lessablonsjardindacclimatation
ESPLANADE DE LA DEFENSE,1,0,,esplanadedeladefense
COURONNES,1,0,2,couronnes
COLONEL FABIEN,1,0,2,colonelfabien
LA CHAPELLE,1,0,2,lachapelle
LA REMISE A JORELLE,0,0,,laremiseajorelle
LES MOULINEAUX,0,0,,lesmoulineaux
LIBERATION,0,0,,liberation
MAURICE LACHATRE,0,0,,mauricelachatre
MUSEE DE SEVRES,0,0,,museedesevres
PETIT NOISY,0,0,,petitnoisy
MONTSOURIS,0,0,,montsouris
STADE CHARLETY (PORTE DE GENTILLY),0,0,,stadecharletyportedegentilly
MONCEAU,1,0,2,monceau
TERNES,1,0,2,ternes
VICTOR HUGO,1,0,2,victorhugo
QUATRE SEPTEMBRE,1,0,3,quatreseptembre
REAUMUR-SEBASTOPOL,2,0,,reaumursebastopol
RICHARD LENOIR,1,0,5,richardlenoir
BASTILLE,3,0,8,bastille
BASTILLE,3,0,1,bastille
BASTILLE,3,0,5,bastille
MASSY-PALAISEAU,0,2,B,massypalaiseau
MAREUIL-SUR-OURCQ,0,0,,mareuilsurourcq
TERMINAL 1,0,0,,terminal1
STATION PX,0,0,,stationpx
ALLEE DE LA TOUR RENDEZ-VOUS,0,0,,alleedelatourrendezvous
FREINVILLE-SEVRAN,0,0,,freinvillesevran
SAINT-AUGUSTIN,1,0,9,saintaugustin
REPUBLIQUE,5,0,,republique
OBERKAMPF,2,0,9,oberkampf
OBERKAMPF,2,0,5,oberkampf
RUE DES BOULETS,1,0,9,ruedesboulets
MARAICHERS,1,0,,maraichers
MAIRIE DE MONTREUIL,1,0,9,mairiedemontreuil
EGLISE D'AUTEUIL,1,0,10,eglisedauteuil
MIRABEAU,1,0,10,mirabeau
MABILLON,1,0,10,mabillon
MAIRIE DES LILAS,1,0,11,mairiedeslilas
PLACE DES FETES,2,0,,placedesfetes
JOURDAIN,1,0,11,jourdain
GONCOURT (HOPITAL SAINT-LOUIS),1,0,,goncourthopitalsaintlouis
CHATELET,5,0,,chatelet
PASTEUR,2,0,12,pasteur
PASTEUR,2,0,6,pasteur
SAINT-GEORGES,1,0,12,saintgeorges
PIGALLE,2,0,12,pigalle
PIGALLE,2,0,2,pigalle
LAMARCK-CAULAINCOURT,1,0,12,lamarckcaulaincourt
MARCADET-POISSONNIERS,2,0,12,marcadetpoissonniers
MARCADET-POISSONNIERS,2,0,4,marcadetpoissonniers
GABRIEL PERI-ASNIERES-GENNEVILLIERS,1,0,,gabrielperiasnieresgennevilliers
MALAKOFF-PLATEAU DE VANVES,1,0,13,malakoffplateaudevanves
PLAISANCE,1,0,13,plaisance
DUROC,2,0,13,duroc
DUROC,2,0,10,duroc
GARIBALDI,1,0,13,garibaldi
SAINT-DENIS-UNIVERSITE,1,0,,saintdenisuniversite
LAGNY-THORIGNY,0,0,,lagnythorigny
LOGNES,0,1,A,lognes
ROISSY-EN-BRIE,0,1,,roissyenbrie
ESBLY,0,0,,esbly
NANTEUIL-SAACY,0,0,,nanteuilsaacy
CRECY-EN-BRIE-LA-CHAPELLE,0,0,,crecyenbrielachapelle
THIEUX-NANTOUILLET,0,0,,thieuxnantouillet
DAMMARTIN-JUILLY-SAINT-MARD,0,0,,dammartinjuillysaintmard
DUGOMMIER,1,0,6,dugommier
GLACIERE,1,0,,glaciere
SAINT-JACQUES,1,0,6,saintjacques
LA MOTTE-PICQUET-GRENELLE,3,0,8,lamottepicquetgrenelle
LA MOTTE-PICQUET-GRENELLE,3,0,10,lamottepicquetgrenelle
LA MOTTE-PICQUET-GRENELLE,3,0,6,lamottepicquetgrenelle
CORENTIN CARIOU,1,0,7,corentincariou
SULLY-MORLAND,1,0,7,sullymorland
MAISON BLANCHE,1,0,7,maisonblanche
MAIRIE D'IVRY,1,0,7,mairiedivry
