duree,date,line_num,line_type,what,type_inc
0 days 00:01:00.000000000,2018-11-19 10:29:00,3,metro,generic,unscheduled
0 days 00:01:00.000000000,2018-11-19 10:32:00,3,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-19 10:35:00,3,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-19 10:39:00,3,metro,generic,unscheduled
0 days 00:02:00.000000000,2018-11-19 10:46:00,3,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-19 10:50:00,3,metro,generic,unscheduled
0 days 00:02:00.000000000,2018-11-19 10:53:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 10:56:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 10:56:00,3,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-19 10:57:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 10:58:00,3,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-19 10:58:00,A,rer,passenger,unscheduled
0 days 00:01:00.000000000,2018-11-19 10:59:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:01:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:01:00,3,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:02:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:03:00,3,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:03:00,A,rer,passenger,unscheduled
0 days 00:03:00.000000000,2018-11-19 11:04:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:08:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:08:00,3,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:09:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:10:00,3,metro,generic,unscheduled
0 days 00:00:00.000000000,2018-11-19 11:10:00,A,rer,passenger,unscheduled
