duree,date,line_num,line_type,what,type_inc
0 days 00:03:00.000000000,2018-11-16 12:22:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:26:00,A,rer,safety,unscheduled
0 days 01:00:00.000000000,2018-11-16 12:26:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:27:00,A,rer,safety,unscheduled
0 days 00:04:00.000000000,2018-11-16 12:28:00,A,rer,safety,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:33:00,A,rer,safety,unscheduled
0 days 00:03:00.000000000,2018-11-16 12:34:00,A,rer,safety,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:38:00,A,rer,safety,unscheduled
0 days 00:02:00.000000000,2018-11-16 12:39:00,A,rer,safety,unscheduled
0 days 00:03:00.000000000,2018-11-16 12:42:00,A,rer,safety,unscheduled
