Geo Point;Geo Shape;OBJECTID;id_ref_zdl;nom_long;label;idrefliga;idrefligc;res_com;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.9037599311,2.39228705963;"{""type"": ""Point"", ""coordinates"": [2.392287059631849, 48.90375993107013]}";280;46492;AUBERVILLIERS-PANTIN (QUATRE CHEMINS);Aubervilliers Pantin Quatre Chemins;A01540;C01377;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;655450.6264;6867255.7817
48.8882676206,2.37420401608;"{""type"": ""Point"", ""coordinates"": [2.374204016083613, 48.88826762058893]}";283;44643;RIQUET;Riquet;A01540;C01377;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654111.3943;6865543.4605
48.881584251,2.3659210371;"{""type"": ""Point"", ""coordinates"": [2.365921037104069, 48.88158425100824]}";284;43823;LOUIS BLANC;Louis Blanc;A01540 / A01550;;M7 / M7b;Metro;0;0;0;1;0;0;0;0;0;0;M7bis;0;0;0;RATP;0;1;653498.0621;6864805.1535
48.8785656258,2.36216007056;"{""type"": ""Point"", ""coordinates"": [2.362160070559614, 48.878565625792326]}";285;42583;CHATEAU-LANDON;Château-Landon;A01540;C01377;M7;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653219.5358;6864471.7227
48.8389609394,2.28270002724;"{""type"": ""Point"", ""coordinates"": [2.28270002723913, 48.83896093937201]}";303;45363;LOURMEL;Lourmel;A01541;C01378;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;647351.9234;6860118.0595
48.8447947646,2.29395196364;"{""type"": ""Point"", ""coordinates"": [2.293951963636534, 48.84479476461108]}";306;42734;COMMERCE;Commerce;A01541;C01378;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;648183.5662;6860759.2739
48.8706776818,2.33235463926;"{""type"": ""Point"", ""coordinates"": [2.33235463926327, 48.87067768184423]}";310;42237;OPERA;Opéra;A01536 / A01540 / A01541;;M3 / M7 / M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651026.1803;6863612.7102
48.8215957673,2.41373751615;"{""type"": ""Point"", ""coordinates"": [2.413737516154775, 48.82159576731503]}";322;42545;CHARENTON-ECOLES;Charenton-Écoles;A01541;C01378;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;656955.2247;6858107.8489
48.814803007,2.42237614285;"{""type"": ""Point"", ""coordinates"": [2.422376142845623, 48.81480300700046]}";323;42889;ECOLE VETERINAIRE DE MAISONS-ALFORT;École Vétérinaire de Maisons-Alfort;A01541;C01378;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;657583.9566;6857347.8995
48.8091443609,2.43450989593;"{""type"": ""Point"", ""coordinates"": [2.434509895933691, 48.80914436093604]}";324;44066;MAISONS-ALFORT-STADE;Maisons-Alfort-Stade;A01541;C01378;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;658470.4404;6856712.2781
48.779905317,2.45936839626;"{""type"": ""Point"", ""coordinates"": [2.459368396259052, 48.77990531695966]}";328;42778;CRETEIL-PREFECTURE (HOTEL DE VILLE);Créteil-Préfecture;A01541;C01378;M8;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;660273.7592;6853448.5114
48.8379612135,2.25712222985;"{""type"": ""Point"", ""coordinates"": [2.257122229845437, 48.837961213537035]}";332;44524;PORTE DE SAINT-CLOUD;Porte de Saint-Cloud;A01542;C01379;M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;645473.5838;6860024.2597
48.3112962802,2.00352500269;"{""type"": ""Point"", ""coordinates"": [2.003525002693243, 48.311296280172286]}";338;47917;ANGERVILLE;ANGERVILLE;;;GL;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;626121.8465;6801685.3319
48.6134279136,2.4729336491;"{""type"": ""Point"", ""coordinates"": [2.472933649102296, 48.61342791358872]}";349;43115;CORBEIL-ESSONNES;CORBEIL ESSONNES;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;661146.9909;6834933.3117
48.5315019892,2.37051850041;"{""type"": ""Point"", ""coordinates"": [2.370518500413147, 48.5315019891998]}";356;43087;BALLANCOURT;BALLANCOURT;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;653524.9406;6825881.3489
48.6810166137,2.53313066339;"{""type"": ""Point"", ""coordinates"": [2.533130663386568, 48.68101661367096]}";361;47924;BOUSSY-SAINT-ANTOINE;BOUSSY-SAINT-ANTOINE;A01842;C01728;RER D;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;665628.8221;6842419.4143
48.8104024635,1.76505675794;"{""type"": ""Point"", ""coordinates"": [1.765056757940473, 48.81040246347338]}";370;47903;GARANCIERES-LA QUEUE;GARANCIÈRES LA QUEUE;A01847;C01736;LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;609310.9515;6857412.645
48.7960253678,1.60270169299;"{""type"": ""Point"", ""coordinates"": [1.602701692990599, 48.7960253678006]}";373;47935;HOUDAN;HOUDAN;A01847;C01736;LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;1;1;597361.1625;6856013.0322
